Model: , Areal mixture of reflectance
Timestamp: ,2022-09-20 11:23:13
,Compound,Molecular Formula,Concentration (%),Measurement Temperature,Wavelength,"Author,Year",DOI
0,Methane,CH4,100,77K,0.35-2.5 micron,"Kokaly, R.F.",https://crustal.usgs.gov/speclab/data/HTMLmetadata/Methane_XCEL_liquid_T~77K_ASDFRa_AREF.html

wave,Methane
0.5690000000000002,0.9908341797829978
0.5700000000000002,0.990869880404704
0.5710000000000002,0.9909103517905106
0.5720000000000002,0.9909998773142344
0.5730000000000002,0.9910751592471848
0.5740000000000002,0.99114519
0.5750000000000002,0.9912982022089222
0.5760000000000002,0.9915190950519979
0.5770000000000002,0.991771694948002
0.5780000000000002,0.9920214975019752
0.5790000000000002,0.99216992
0.5800000000000002,0.992328414382044
0.5810000000000002,0.9925475149155544
0.5820000000000002,0.992711366722964
0.5830000000000002,0.99284875
0.5840000000000002,0.9929592005019048
0.5850000000000002,0.9930093912837358
0.5860000000000002,0.9930735780743964
0.5870000000000002,0.9931375393603872
0.5880000000000002,0.99317533
0.5890000000000002,0.993176879548191
0.5900000000000002,0.99313169660087
0.5910000000000002,0.9930183922660868
0.5920000000000002,0.9928542416415164
0.5930000000000002,0.9926450775413752
0.5940000000000002,0.9923992166539672
0.5950000000000002,0.9922319150190492
0.5960000000000002,0.9920791430554304
0.5970000000000002,0.99196702
0.5980000000000002,0.9919899098145982
0.5990000000000002,0.9919713698678052
0.6000000000000002,0.9919647601321948
0.6010000000000002,0.9920076095714958
0.6020000000000002,0.99220914
0.6030000000000002,0.9923881913226263
0.6040000000000002,0.99252045100135
0.6050000000000002,0.9925538293324332
0.6060000000000002,0.9925811297269972
0.6070000000000002,0.9926108705835058
0.6080000000000002,0.9926692214163292
0.6090000000000002,0.9927400378755062
0.6100000000000002,0.9927750796495931
0.6110000000000002,0.99272621
0.6120000000000002,0.99267440899209
0.6130000000000002,0.9925736169055238
0.6140000000000002,0.9924188930944764
0.6150000000000002,0.9923445607433076
0.6160000000000002,0.99226981
0.6170000000000002,0.9922012093311932
0.6180000000000002,0.9921677670784459
0.6190000000000002,0.9920703819477026
0.6200000000000002,0.99196643
0.6210000000000002,0.9918996695159952
0.6220000000000002,0.991851270498175
0.6230000000000002,0.9918761792527374
0.6240000000000002,0.991987048891278
0.6250000000000002,0.9919138
0.6260000000000002,0.9918982401418028
0.6270000000000002,0.9919124187127644
0.6280000000000002,0.9918695108581572
0.6290000000000002,0.9919040796542964
0.6300000000000002,0.99199629
0.6310000000000002,0.9921605652723364
0.6320000000000002,0.9924241820914956
0.6330000000000002,0.9927171441407416
0.6340000000000002,0.99302936
0.6350000000000002,0.993072570813008
0.6360000000000002,0.993153872148114
0.6370000000000002,0.993261277851886
0.6380000000000002,0.9933540190725908
0.6390000000000002,0.99341655
0.6400000000000002,0.9934263789706794
0.6410000000000002,0.993323449838908
0.6420000000000002,0.9933180801073946
0.6430000000000002,0.9933157000238
0.6440000000000002,0.9932877989515896
0.6450000000000002,0.9931829570853457
0.6460000000000002,0.9930372243719814
0.6470000000000002,0.9928751016212324
0.6480000000000002,0.99282938
0.6490000000000002,0.992750819214392
0.6500000000000002,0.9926722593754248
0.6510000000000002,0.9926410306245752
0.6520000000000002,0.992602290387404
0.6530000000000002,0.99257571
0.6540000000000002,0.9925708792643928
0.6550000000000002,0.9925340990094496
0.6560000000000002,0.992501080660367
0.6570000000000003,0.9924863601472016
0.6580000000000003,0.9925974606688068
0.6590000000000003,0.9926643405327734
0.6600000000000003,0.99269097920084
0.6610000000000003,0.9926631502783057
0.6620000000000003,0.9927339
0.6630000000000003,0.9928047703033058
0.6640000000000003,0.9928351018008101
0.6650000000000003,0.99289512879946
0.6660000000000003,0.9929416195350952
0.6670000000000003,0.99297309
0.6680000000000003,0.9929969314817261
0.6690000000000003,0.9930710177774112
0.6700000000000003,0.9931653081141812
0.6710000000000003,0.9932285
0.6720000000000003,0.9932699204590046
0.6730000000000003,0.9933158213183472
0.6740000000000003,0.9933817386816528
0.6750000000000003,0.9934334194831947
0.6760000000000003,0.99351251
0.6770000000000003,0.9936174204100082
0.6780000000000003,0.9936584204400779
0.6790000000000003,0.9936730897066148
0.6800000000000003,0.9936889998408984
0.6810000000000003,0.9937738209453096
0.6820000000000003,0.9938683511921405
0.6830000000000003,0.9939279582117896
0.6840000000000003,0.9939098403624036
0.6850000000000003,0.99393576
0.6860000000000003,0.9939872606700068
0.6870000000000003,0.9940542578066875
0.6880000000000003,0.9939445921933122
0.6890000000000003,0.9939458399875
0.6900000000000003,0.99400783
0.6910000000000003,0.9940318508796088
0.6920000000000003,0.9940758299340032
0.6930000000000003,0.9940736300439978
0.6940000000000003,0.993954661189712
0.6950000000000003,0.9938307392155922
0.6960000000000003,0.9937522995232241
0.6970000000000003,0.9937284607151644
0.6980000000000003,0.9936400108845176
0.6990000000000003,0.9935565
0.7000000000000003,0.9934596982893829
0.7010000000000003,0.9932886373083076
0.7020000000000003,0.9931540526916924
0.7030000000000003,0.993033291207612
0.7040000000000003,0.99291193
0.7050000000000003,0.9928172177385772
0.7060000000000003,0.9927041457624118
0.7070000000000003,0.9925628928250588
0.7080000000000003,0.99251449
0.7090000000000003,0.9924669894330944
0.7100000000000003,0.9924102977257138
0.7110000000000003,0.9922965834114292
0.7120000000000003,0.9922379305865118
0.7130000000000003,0.99218625
0.7140000000000003,0.9920946984400688
0.7150000000000003,0.9919387072608368
0.7160000000000003,0.9918474018261088
0.7170000000000003,0.9918600898730988
0.7180000000000003,0.9917710383507836
0.7190000000000003,0.9916061157526124
0.7200000000000003,0.9913937463710814
0.7210000000000003,0.9912704824652244
0.7220000000000003,0.99115533
0.7230000000000003,0.9910472590290904
0.7240000000000003,0.9909501696638134
0.7250000000000003,0.9909333603361864
0.7260000000000003,0.9908615407182072
0.7270000000000003,0.99068314
0.7280000000000003,0.9906010603559072
0.7290000000000003,0.9906366542984852
0.7300000000000003,0.9907799371343432
0.7310000000000003,0.9910067877314774
0.7320000000000003,0.991315132781728
0.7330000000000003,0.9915933012575372
0.7340000000000003,0.9916561781136944
0.7350000000000003,0.9917721188405768
0.7360000000000003,0.99190217
0.7370000000000003,0.9920339008559086
0.7380000000000003,0.9921194917177312
0.7390000000000003,0.9922053782822688
0.7400000000000003,0.9922941891118912
0.7410000000000003,0.99238843
0.7420000000000003,0.9925206329088292
0.7430000000000003,0.9926660737102144
0.7440000000000003,0.9927897475265236
0.7450000000000003,0.9929961
0.7460000000000003,0.9931558403898041
0.7470000000000003,0.9931948204325785
0.7480000000000003,0.9932164493511324
0.7490000000000003,0.993297039194084
0.7500000000000003,0.9934395
0.7510000000000003,0.9936040621601432
0.7520000000000003,0.9938200762618872
0.7530000000000003,0.9940288058254088
0.7540000000000003,0.9941009892781928
0.7550000000000003,0.99418724
0.7560000000000003,0.9942694313779312
0.7570000000000003,0.9943383279331034
0.7580000000000003,0.994397698812588
0.7590000000000003,0.99449652
0.7600000000000003,0.994635160591906
0.7610000000000003,0.9946943506437742
0.7620000000000003,0.9947265393562258
0.7630000000000003,0.9947357799075991
0.7640000000000003,0.99471748
