Model: , Areal mixture of reflectance
Timestamp: ,2022-09-20 11:27:08
,Compound,Molecular Formula,Concentration (%),Measurement Temperature,Wavelength,"Author,Year",DOI
0,Pentane,C5H12,100,85K,0.35-2.5 micron,"Kokaly, R.F.",https://crustal.usgs.gov/speclab/data/HTMLmetadata/Pentane_SA-76878_fine_gr_85K_ASDFRa_AREF.html

wave,Pentane
0.4670000000000001,0.7730855287460251
0.4680000000000001,0.7731452603861922
0.4690000000000001,0.7731838796138077
0.4700000000000001,0.77326244
0.4710000000000001,0.7732839006430936
0.4720000000000001,0.77334821
0.4730000000000001,0.7734854200077999
0.4740000000000001,0.7734861999922
0.4750000000000001,0.7735630910650787
0.4760000000000001,0.7736695989349213
0.4770000000000001,0.77368265
0.4780000000000001,0.7737671108362916
0.4790000000000001,0.77385074
0.4800000000000001,0.7738941900184997
0.4810000000000001,0.7738960399815004
0.4820000000000001,0.7739552911067779
0.4830000000000001,0.7740659688932221
0.4840000000000001,0.77417159
0.4850000000000001,0.7742066396495034
0.4860000000000001,0.77422416
0.4870000000000001,0.7742746506877862
0.4880000000000001,0.7743434293122138
0.4890000000000001,0.7744308710025799
0.4900000000000001,0.77453112899742
0.4910000000000001,0.77454394
0.4920000000000001,0.7745869795696043
0.4930000000000001,0.77464753
0.4940000000000001,0.7747147106007941
0.4950000000000001,0.77477479
0.4960000000000001,0.7748209802819943
0.4970000000000001,0.7748491797180057
0.4980000000000001,0.77493495
0.4990000000000001,0.7750073692758073
0.5000000000000001,0.77507222
0.5010000000000001,0.7751633507797157
0.5020000000000001,0.7752413219454027
0.5030000000000001,0.7753061687030649
0.5040000000000001,0.7753534895267953
0.5050000000000001,0.77541882
0.5060000000000001,0.7754867114327284
0.5070000000000001,0.7755583478509074
0.5080000000000001,0.7756521681235812
0.5090000000000001,0.77570438
0.5100000000000001,0.7757443806592066
0.5110000000000001,0.7758103022673093
0.5120000000000001,0.7759236677326906
0.5130000000000001,0.7760054491821918
0.5140000000000001,0.77603954
0.5150000000000001,0.7762089409554191
0.5160000000000001,0.7763044817129143
0.5170000000000001,0.7763615788580571
0.5180000000000001,0.7764568890468905
