wave,40_30_30
0.82,0.070134949
0.821,0.070136625
0.822,0.070138391
0.823,0.070140247
0.824,0.070142196
0.825,0.070144239
0.826,0.070146378
0.827,0.070148615
0.828,0.070150952
0.829,0.070153391
0.83,0.070155935
0.831,0.070154485
0.832,0.070153038
0.833,0.070151595
0.834,0.070150156
0.835,0.07014872
0.836,0.070147288
0.837,0.07014586
0.838,0.070144435
0.839,0.070143014
0.84,0.070141597
0.841,0.070163648
0.842,0.070185831
0.843,0.07020815
0.844,0.070230605
0.845,0.070253198
0.846,0.070275933
0.847,0.070298809
0.848,0.070321831
0.849,0.070345
0.85,0.070368317
0.851,0.070368055
0.852,0.070367796
0.853,0.070367542
0.854,0.070367292
0.855,0.070367046
0.856,0.070366805
0.857,0.070366568
0.858,0.070366335
0.859,0.070366106
0.86,0.070365881
0.861,0.070364599
0.862,0.070363321
0.863,0.070362048
0.864,0.070360778
0.865,0.070359513
0.866,0.070358252
0.867,0.070356995
0.868,0.070355743
0.869,0.070354495
0.87,0.070353251
0.871,0.07035196
0.872,0.070350673
0.873,0.07034939
0.874,0.070348112
0.875,0.070346838
0.876,0.070345568
0.877,0.070344303
0.878,0.070343042
0.879,0.070341786
0.88,0.070340534
0.881,0.070339319
0.882,0.070338109
0.883,0.070336903
0.884,0.070335701
0.885,0.070334504
0.886,0.070333311
0.887,0.070332122
0.888,0.070330938
0.889,0.070329758
0.89,0.070328582
0.891,0.070334525
0.892,0.070340618
0.893,0.070346864
0.894,0.070353267
0.895,0.070359828
0.896,0.070366552
0.897,0.070373442
0.898,0.0703805
0.899,0.070387731
0.9,0.070395138
0.901,0.070394302
0.902,0.070393469
0.903,0.070392642
0.904,0.070391818
0.905,0.070391
0.906,0.070390185
0.907,0.070389376
0.908,0.07038857
0.909,0.070387769
0.91,0.070386973
0.911,0.070386166
0.912,0.070385364
0.913,0.070384567
0.914,0.070383773
0.915,0.070382985
0.916,0.070382201
0.917,0.070381421
0.918,0.070380646
0.919,0.070379875
0.92,0.070379109
0.921,0.07037935
0.922,0.070379595
0.923,0.070379844
0.924,0.070380099
0.925,0.070380358
0.926,0.070380622
0.927,0.07038089
0.928,0.070381163
0.929,0.070381441
0.93,0.070381723
0.931,0.070380979
0.932,0.070380239
0.933,0.070379503
0.934,0.070378772
0.935,0.070378046
0.936,0.070377324
0.937,0.070376607
0.938,0.070375895
0.939,0.070375187
0.94,0.070374483
0.941,0.070373768
0.942,0.070373057
0.943,0.070372351
0.944,0.070371649
0.945,0.070370952
0.946,0.070370259
0.947,0.070369571
0.948,0.070368888
0.949,0.070368209
0.95,0.070367535
0.951,0.070367641
0.952,0.070367751
0.953,0.070367867
0.954,0.070367988
0.955,0.070368114
0.956,0.070368246
0.957,0.070368383
0.958,0.070368525
0.959,0.070368672
0.96,0.070368824
0.961,0.070367918
0.962,0.070367018
0.963,0.070366122
0.964,0.070365232
0.965,0.070364347
0.966,0.070363468
0.967,0.070362593
0.968,0.070361724
0.969,0.070360859
0.97,0.07036
0.971,0.069782374
0.972,0.06974599
0.973,0.069741485
0.974,0.069739186
0.975,0.069737044
0.976,0.069734913
0.977,0.069732784
0.978,0.069730657
0.979,0.06972853
0.98,0.069726404
0.981,0.069723227
0.982,0.069720051
0.983,0.069716875
0.984,0.069713701
0.985,0.069663129
0.986,0.06965944
0.987,0.069655951
0.988,0.069655256
0.989,0.069694214
0.99,0.070407689
0.991,0.070406437
0.992,0.070405191
0.993,0.070403951
0.994,0.070402717
0.995,0.070401489
0.996,0.070400268
0.997,0.070399052
0.998,0.070397843
0.999,0.070396639
1,0.070395442
1.001,0.070395073
1.002,0.07039471
1.003,0.070394355
1.004,0.070394005
1.005,0.070393662
1.006,0.070393326
1.007,0.070392996
1.008,0.070392673
1.009,0.070392357
1.01,0.070392046
1.011,0.070391008
1.012,0.070389975
1.013,0.070388947
1.014,0.070387926
