wave_um,R,G,B
0.97,0.05604177837824251,0.05382751586108392,0.05382751586108392
0.975,0.05134714069874399,0.048432560800095434,0.048432560800095434
0.98,0.04665250301924547,0.04391027624732728,0.04391027624732728
0.985,0.042639823349243676,0.040166153447958826,0.040166153447958826
0.99,0.03898688056408698,0.03695827498329731,0.03695827498329731
0.995,0.03404215255519375,0.03404215255519375,0.03404215255519375
1.0,0.03121949658989565,0.03121949658989565,0.03121949658989565
1.005,0.028245301769017,0.028245301769017,0.028245301769017
1.01,0.0252369488557463,0.0252369488557463,0.0252369488557463
1.015,0.0224002968819959,0.0224002968819959,0.0224002968819959
1.02,0.019911592021880403,0.019911592021880403,0.019911592021880403
1.025,0.017815688483474215,0.017815688483474215,0.017815688483474215
1.03,0.0159363676913144,0.0159363676913144,0.0159363676913144
1.035,0.014159121391853043,0.014159121391853043,0.014159121391853043
1.04,0.012417070268238234,0.012417070268238234,0.012417070268238234
1.045,0.010658764681536696,0.010658764681536696,0.010658764681536696
1.05,0.008926204040783018,0.008926204040783018,0.008926204040783018
1.055,0.0073994284042641495,0.0073994284042641495,0.0073994284042641495
1.06,0.006167626466922348,0.006167626466922348,0.006167626466922348
1.065,0.005150315743270424,0.005150315743270424,0.005150315743270424
1.07,0.004171319575098182,0.004171319575098182,0.004171319575098182
1.075,0.003165378108243507,0.003165378108243507,0.003165378108243507
1.08,0.0025708995990462603,0.0025708995990462603,0.0025708995990462603
1.085,0.002340104518381958,0.002340104518381958,0.002340104518381958
1.09,0.002248127026564414,0.002248127026564414,0.002248127026564414
1.095,0.001884890024803749,0.001884890024803749,0.001884890024803749
