wave_nm,QE
951,0.075435471
952,0.074485116
953,0.07353476
954,0.072584405
955,0.07163405
956,0.070683695
957,0.069605958
958,0.068454254
959,0.067302549
960,0.066150845
961,0.064999141
962,0.063847436
963,0.06264942
964,0.06135787
965,0.06006632
966,0.05877477
967,0.057483219
968,0.056191669
969,0.054906507
970,0.053827516
971,0.052748525
972,0.051669534
973,0.050590543
974,0.049511552
975,0.048432561
976,0.047488
977,0.046593569
978,0.045699138
979,0.044804707
980,0.043910276
981,0.043015845
982,0.042211981
983,0.041530039
984,0.040848096
985,0.040166153
986,0.039484211
987,0.038802268
988,0.038132064
989,0.037545169
990,0.036958275
991,0.036371381
992,0.035784486
993,0.035197592
994,0.034610697
995,0.034042153
996,0.033477621
997,0.03291309
998,0.032348559
999,0.031784028
1000,0.031219497
1001,0.030637606
1002,0.03003953
1003,0.029441454
1004,0.028843378
1005,0.028245302
1006,0.027647226
1007,0.02704795
1008,0.026444283
1009,0.025840616
1010,0.025236949
1011,0.024633282
1012,0.024029615
1013,0.023425948
1014,0.022908922
1015,0.022400297
1016,0.021891672
1017,0.021383047
1018,0.020874422
1019,0.020365797
1020,0.019911592
1021,0.019492411
1022,0.019073231
1023,0.01865405
1024,0.018234869
1025,0.017815688
1026,0.017411853
1027,0.017042981
1028,0.01667411
1029,0.016305239
1030,0.015936368
1031,0.015567496
1032,0.015198658
1033,0.014852146
1034,0.014505634
1035,0.014159121
1036,0.013812609
1037,0.013466097
1038,0.013119585
1039,0.012769172
1040,0.01241707
1041,0.012064968
1042,0.011712867
1043,0.011360765
1044,0.011008663
1045,0.010658765
1046,0.010312253
1047,0.00996574
1048,0.009619228
1049,0.009272716
