wave_nm,QE
982,0.044774648
983,0.043883876
984,0.04326185
985,0.042639823
986,0.042017797
987,0.041395771
988,0.040773745
989,0.040059148
990,0.038986881
991,0.037914613
992,0.036842346
993,0.035770079
994,0.034697811
995,0.034042153
996,0.033477621
997,0.03291309
998,0.032348559
999,0.031784028
1000,0.031219497
1001,0.030637606
1002,0.03003953
1003,0.029441454
1004,0.028843378
1005,0.028245302
1006,0.027647226
1007,0.02704795
1008,0.026444283
1009,0.025840616
1010,0.025236949
1011,0.024633282
1012,0.024029615
1013,0.023425948
1014,0.022908922
1015,0.022400297
1016,0.021891672
1017,0.021383047
1018,0.020874422
1019,0.020365797
1020,0.019911592
1021,0.019492411
1022,0.019073231
1023,0.01865405
1024,0.018234869
1025,0.017815688
1026,0.017411853
1027,0.017042981
1028,0.01667411
1029,0.016305239
1030,0.015936368
1031,0.015567496
1032,0.015198658
1033,0.014852146
1034,0.014505634
1035,0.014159121
1036,0.013812609
1037,0.013466097
1038,0.013119585
1039,0.012769172
1040,0.01241707
1041,0.012064968
1042,0.011712867
1043,0.011360765
1044,0.011008663
1045,0.010658765
1046,0.010312253
1047,0.00996574
1048,0.009619228
1049,0.009272716
