wave_um,QE
0.906,0.125838387
0.907,0.12471465
0.908,0.123590913
0.909,0.122467176
0.91,0.121334101
0.911,0.119946898
0.912,0.118559696
0.913,0.117172494
0.914,0.115785292
0.915,0.11439809
0.916,0.113047546
0.917,0.111863887
0.918,0.110680227
0.919,0.109496567
0.92,0.108312907
0.921,0.107129247
0.922,0.105945587
0.923,0.104761927
0.924,0.103578268
0.925,0.102394608
0.926,0.101210948
0.927,0.100027288
0.928,0.098843628
0.929,0.097659968
0.93,0.096476308
0.931,0.095292649
0.932,0.094108989
0.933,0.092925329
0.934,0.091741669
0.935,0.090558009
0.936,0.089374349
0.937,0.08819069
0.938,0.08700703
0.939,0.08582337
0.94,0.08463971
0.941,0.08345605
0.942,0.082331749
0.943,0.081392822
0.944,0.080453894
0.945,0.079514967
0.946,0.078576039
0.947,0.077637112
0.948,0.076698184
0.949,0.075759257
0.95,0.074820329
0.951,0.073881402
0.952,0.072942474
0.953,0.072003546
0.954,0.071064619
0.955,0.070125691
0.956,0.069186764
0.957,0.068247836
0.958,0.067308909
0.959,0.066369981
0.96,0.065431054
0.961,0.064492126
0.962,0.063553199
0.963,0.062614271
0.964,0.061675344
0.965,0.060736416
0.966,0.059797489
0.967,0.058858561
0.968,0.057919633
0.969,0.056980706
0.97,0.056041778
0.971,0.055102851
0.972,0.054163923
0.973,0.053224996
0.974,0.052286068
0.975,0.051347141
0.976,0.050408213
0.977,0.049469286
0.978,0.048530358
0.979,0.047591431
0.98,0.046652503
0.981,0.045713575
0.982,0.044774648
0.983,0.043883876
0.984,0.04326185
0.985,0.042639823
0.986,0.042017797
0.987,0.041395771
0.988,0.040773745
0.989,0.040059148
0.99,0.038986881
0.991,0.037914613
0.992,0.036842346
0.993,0.035770079
0.994,0.034697811
0.995,0.034042153
0.996,0.033477621
0.997,0.03291309
0.998,0.032348559
0.999,0.031784028
1,0.031219497
1.001,0.030637606
1.002,0.03003953
1.003,0.029441454
1.004,0.028843378
1.005,0.028245302
1.006,0.027647226
1.007,0.02704795
1.008,0.026444283
1.009,0.025840616
1.01,0.025236949
1.011,0.024633282
1.012,0.024029615
1.013,0.023425948
1.014,0.022908922
1.015,0.022400297
1.016,0.021891672
1.017,0.021383047
1.018,0.020874422
1.019,0.020365797
1.02,0.019911592
1.021,0.019492411
1.022,0.019073231
1.023,0.01865405
1.024,0.018234869
1.025,0.017815688
1.026,0.017411853
1.027,0.017042981
1.028,0.01667411
1.029,0.016305239
1.03,0.015936368
1.031,0.015567496
1.032,0.015198658
1.033,0.014852146
1.034,0.014505634
1.035,0.014159121
1.036,0.013812609
1.037,0.013466097
1.038,0.013119585
1.039,0.012769172
1.04,0.01241707
1.041,0.012064968
1.042,0.011712867
1.043,0.011360765
1.044,0.011008663
1.045,0.010658765
1.046,0.010312253
1.047,0.00996574
1.048,0.009619228
1.049,0.009272716
