wave,wave_nm,100_0_0,0_100_0,0_0_100,40_20_40,20_50_30
0.965,965,0.451182832,0.084370672,0.962074606,0.344693679,0.20471418
0.966,966,0.451368963,0.083929694,0.961717387,0.344423179,0.204307623
0.967,967,0.451554882,0.084957222,0.961364384,0.345223615,0.205299108
0.968,968,0.451740589,0.084944258,0.961015477,0.34526757,0.205301838
0.969,969,0.451926084,0.084546047,0.960670551,0.345028171,0.204935955
0.97,970,0.452111368,0.083656496,0.960329497,0.344426467,0.204099619
0.971,971,0.452296441,0.083647645,0.959944579,0.344471372,0.204104939
0.972,972,0.452481305,0.083793882,0.959564325,0.344630338,0.204258582
0.973,973,0.452665958,0.083890852,0.9591886,0.344753233,0.204365282
0.974,974,0.452850402,0.083998437,0.958817274,0.344883878,0.20448212
0.975,975,0.453034636,0.08411434,0.958450223,0.345020635,0.20460694
0.976,976,0.453218663,0.084224115,0.958087329,0.345153124,0.204726123
0.977,977,0.453402481,0.083807789,0.95772848,0.344900182,0.204343559
0.978,978,0.453586091,0.083504773,0.957373568,0.344727586,0.204067125
0.979,979,0.453769493,0.083600297,0.957022491,0.344848687,0.204172082
0.98,980,0.453952689,0.083723797,0.95667515,0.344990553,0.204303955
0.981,981,0.454135678,0.083836987,0.956301337,0.345123066,0.204424739
0.982,982,0.454318462,0.08394999,0.955931649,0.345255446,0.204545379
0.983,983,0.454501039,0.084102664,0.955565979,0.345417014,0.204703973
0.984,984,0.454683411,0.084214459,0.955204223,0.345548772,0.204823735
0.985,985,0.454865578,0.083353203,0.954846281,0.344964839,0.204013875
0.986,986,0.45504754,0.083474548,0.954492059,0.345102007,0.204141562
0.987,987,0.455229298,0.083584173,0.954141464,0.345231241,0.204258623
0.988,988,0.455410853,0.083702546,0.953794411,0.345367062,0.204384192
0.989,989,0.455592204,0.083795645,0.953450814,0.345484274,0.204485638
0.99,990,0.455773352,0.083904025,0.953110593,0.345612697,0.20460169
0.991,991,0.455954298,0.084050449,0.952637409,0.34576827,0.204753824
0.992,992,0.456135041,0.084138879,0.952170176,0.345881398,0.204850762
0.993,993,0.456315583,0.083219361,0.951708712,0.345251291,0.203983844
0.994,994,0.456495923,0.083297668,0.951252846,0.345355225,0.204069833
0.995,995,0.456676062,0.083364257,0.950802414,0.345451126,0.204145124
0.996,996,0.456856001,0.083463662,0.95035726,0.345571357,0.204251922
0.997,997,0.457035739,0.083543988,0.949917236,0.345677471,0.204340475
0.998,998,0.457215278,0.083674163,0.949482201,0.345820362,0.204476727
0.999,999,0.457394617,0.083783318,0.94905202,0.345947708,0.204592882
1,1000,0.457573757,0.083883962,0.948626563,0.346068757,0.204700915
1.001,1001,0.457752698,0.084014506,0.948068457,0.346212252,0.204838243
1.002,1002,0.457931441,0.084091523,0.947517853,0.346316277,0.204924431
1.003,1003,0.458109987,0.084159201,0.946974506,0.346413271,0.205001611
1.004,1004,0.458288334,0.084291708,0.946438183,0.346557989,0.205140732
1.005,1005,0.458466485,0.084362158,0.945908665,0.346656982,0.20522059
1.006,1006,0.458644438,0.084479773,0.945385743,0.346790596,0.205345441
1.007,1007,0.458822196,0.084544024,0.94486922,0.346884847,0.205419301
1.008,1008,0.458999757,0.084661333,0.944358908,0.347018072,0.205543793
1.009,1009,0.459177123,0.084733849,0.943854627,0.347118345,0.205625558
1.01,1010,0.459354293,0.084856979,0.943356207,0.347255767,0.205755602
1.011,1011,0.459531269,0.084948125,0.943040525,0.347369464,0.205854445
1.012,1012,0.45970805,0.085081968,0.942727348,0.347514648,0.205994136
1.013,1013,0.459884636,0.085143812,0.942416631,0.347606718,0.206065016
1.014,1014,0.46006103,0.085231037,0.942108331,0.347717383,0.206160094
1.015,1015,0.460237229,0.085314899,0.941802407,0.34782548,0.206251919
1.016,1016,0.460413236,0.085392884,0.941498818,0.347929189,0.206338115
1.017,1017,0.46058905,0.085463007,0.941197523,0.348026966,0.206416723
1.018,1018,0.460764672,0.08560742,0.940898485,0.348179433,0.2065663
1.019,1019,0.460940101,0.085690729,0.940601666,0.348286977,0.206657605
1.02,1020,0.461115339,0.085756524,0.940307029,0.348381325,0.206731982
1.021,1021,0.461290386,0.085888655,0.940232239,0.348526562,0.206870577
1.022,1022,0.461465243,0.08593753,0.940157693,0.348610404,0.206929623
