wave_nm,flux_W/m2/micron/Ster
818,2.331990242
819,2.400121903
820,2.468253564
821,2.517583723
822,2.564217143
823,2.607875324
824,2.647657302
825,2.687439281
826,2.702194348
827,2.716847896
828,2.711481959
829,2.690366626
830,2.655432399
831,2.524153696
832,2.392874993
833,2.157177312
834,1.875267518
835,1.584685311
836,1.269800561
837,0.954915812
838,0.755356123
839,0.578616653
840,0.47096459
841,0.463291798
842,0.455619005
843,0.559349585
844,0.664835252
845,0.775738171
846,0.890856906
847,0.992188407
848,1.010384586
849,1.028580766
850,0.953513102
851,0.84292028
852,0.718298626
853,0.562170957
854,0.406043288
855,0.297131842
856,0.193816377
857,0.121239684
858,0.081696279
859,0.04434518
860,0.035250458
861,0.026155736
862,0.021416496
863,0.018881136
864,0.016978532
865,0.016895336
866,0.016812139
867,0.021102577
868,0.026140193
869,0.03291307
870,0.041788403
871,0.050535566
872,0.056957879
873,0.063380192
874,0.064480208
875,0.06276893
876,0.059146017
877,0.050039348
878,0.040932679
879,0.031891659
880,0.022860917
881,0.01675466
882,0.013909245
883,0.011279144
884,0.011027866
885,0.010776587
886,0.01067086
887,0.010628945
888,0.011041362
889,0.012467686
890,0.01389401
891,0.014116599
892,0.014242558
893,0.014665732
894,0.015338083
895,0.015768749
896,0.014969654
897,0.014170559
898,0.015092596
899,0.016481678
900,0.017507726
901,0.018013276
902,0.018867433
903,0.028734065
904,0.038600697
905,0.056281789
906,0.077888721
907,0.098888502
908,0.118444253
909,0.138000004
910,0.148073538
911,0.157415895
912,0.176907226
913,0.204281303
914,0.242284773
915,0.32299516
916,0.403705547
917,0.518630282
918,0.640180943
919,0.767319602
920,0.900554526
921,1.034223644
922,1.171054086
923,1.307884527
924,1.440675087
925,1.572226639
926,1.69948115
927,1.820598938
928,1.939149161
929,2.017764643
930,2.096380126
931,2.168258981
932,2.237399601
933,2.29741492
934,2.341459143
935,2.384485947
936,2.372750611
937,2.361015275
938,2.31791143
939,2.259696655
940,2.179121407
941,2.053870799
942,1.928620191
943,1.784970368
944,1.641214137
945,1.519459897
946,1.409194274
947,1.316848886
948,1.262289794
949,1.207730703
950,1.179921642
951,1.152425427
952,1.112244555
953,1.065447572
954,1.002612103
955,0.906917295
956,0.81118943
957,0.674683282
958,0.538177134
959,0.423606567
960,0.319566794
961,0.234007007
962,0.182394215
963,0.131914545
964,0.116434468
965,0.100954392
966,0.097022563
967,0.097756242
968,0.098575519
969,0.099525814
970,0.100490026
971,0.101614083
972,0.10273814
973,0.103929331
974,0.105140912
975,0.106372726
976,0.107628675
977,0.1087
978,0.1087
979,0.1087
980,0.1087
981,0.1087
982,0.1087
983,0.1087
984,0.1087
985,0.1087
986,0.1087
987,0.1087
988,0.1087
989,0.1087
990,0.1087
991,0.1087
992,0.1087
993,0.1087
994,0.1087
995,0.1087
996,0.1087
997,0.1087
998,0.1087
999,0.1087
1000,0.1087
1001,0.1087
1002,0.1087
1003,0.1087
1004,0.1087
1005,0.1087
1006,0.1087
