wave_nm,Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9
585,3.32E-141,3.27E-20,4.59E-05,0.037577491,3.11E-05,1.31E-15,1.36E-19,6.81E-30,3.23E-30
586,1.67E-142,1.77E-20,3.72E-05,0.037411161,4.41E-05,2.41E-15,2.17E-19,1.22E-29,4.69E-30
587,8.31E-144,9.54E-21,3.01E-05,0.036916576,6.21E-05,4.43E-15,3.44E-19,2.20E-29,6.80E-30
588,4.08E-145,5.12E-21,2.42E-05,0.036106755,8.66E-05,8.08E-15,5.45E-19,3.93E-29,9.86E-30
589,1.97E-146,2.74E-21,1.94E-05,0.035002762,0.000119692,1.46E-14,8.59E-19,7.02E-29,1.43E-29
590,9.40E-148,1.46E-21,1.55E-05,0.033632797,0.000164003,2.64E-14,1.35E-18,1.25E-28,2.07E-29
591,4.42E-149,7.70E-22,1.24E-05,0.032030998,0.000222734,4.72E-14,2.12E-18,2.22E-28,2.98E-29
592,2.05E-150,4.06E-22,9.83E-06,0.03023603,0.000299826,8.40E-14,3.32E-18,3.92E-28,4.31E-29
593,9.39E-152,2.13E-22,7.78E-06,0.028289541,0.000400035,1.48E-13,5.18E-18,6.93E-28,6.21E-29
594,4.24E-153,1.11E-22,6.13E-06,0.026234563,0.000529021,2.61E-13,8.06E-18,1.22E-27,8.94E-29
595,1.89E-154,5.78E-23,4.82E-06,0.024113963,0.000693418,4.56E-13,1.25E-17,2.14E-27,1.29E-28
596,8.27E-156,2.99E-23,3.78E-06,0.021968993,0.000900874,7.91E-13,1.94E-17,3.75E-27,1.85E-28
597,3.58E-157,1.54E-23,2.95E-06,0.01983803,0.001160058,1.36E-12,2.99E-17,6.54E-27,2.65E-28
598,1.53E-158,7.91E-24,2.29E-06,0.017755534,0.001480615,2.34E-12,4.60E-17,1.14E-26,3.80E-28
599,6.44E-160,4.04E-24,1.78E-06,0.015751276,0.00187306,3.99E-12,7.06E-17,1.98E-26,5.44E-28
600,2.67E-161,2.05E-24,1.37E-06,0.013849835,0.002348593,6.75E-12,1.08E-16,3.42E-26,7.79E-28
601,1.09E-162,1.04E-24,1.06E-06,0.01207036,0.002918843,1.14E-11,1.65E-16,5.91E-26,1.11E-27
602,4.42E-164,5.23E-25,8.11E-07,0.0104266,0.003595511,1.90E-11,2.51E-16,1.02E-25,1.59E-27
603,1.76E-165,2.62E-25,6.20E-07,0.008927133,0.004389927,3.16E-11,3.81E-16,1.75E-25,2.27E-27
604,6.92E-167,1.31E-25,4.72E-07,0.007575793,0.005312522,5.22E-11,5.78E-16,3.00E-25,3.23E-27
605,2.68E-168,6.51E-26,3.58E-07,0.006372223,0.006372223,8.57E-11,8.72E-16,5.12E-25,4.59E-27
606,1.02E-169,3.22E-26,2.71E-07,0.005312522,0.007575793,1.40E-10,1.31E-15,8.72E-25,6.52E-27
607,3.86E-171,1.58E-26,2.04E-07,0.004389927,0.008927133,2.27E-10,1.97E-15,1.48E-24,9.26E-27
608,1.43E-172,7.77E-27,1.54E-07,0.003595511,0.0104266,3.66E-10,2.95E-15,2.51E-24,1.31E-26
609,5.25E-174,3.79E-27,1.15E-07,0.002918843,0.01207036,5.86E-10,4.41E-15,4.24E-24,1.86E-26
610,1.90E-175,1.84E-27,8.58E-08,0.002348593,0.013849835,9.33E-10,6.57E-15,7.14E-24,2.63E-26
611,6.77E-177,8.90E-28,6.38E-08,0.00187306,0.015751276,1.48E-09,9.76E-15,1.20E-23,3.72E-26
612,2.38E-178,4.29E-28,4.73E-08,0.001480615,0.017755534,2.32E-09,1.45E-14,2.01E-23,5.25E-26
613,8.25E-180,2.05E-28,3.49E-08,0.001160058,0.01983803,3.63E-09,2.14E-14,3.36E-23,7.40E-26
614,2.82E-181,9.80E-29,2.57E-08,0.000900874,0.021968993,5.64E-09,3.15E-14,5.60E-23,1.04E-25
615,9.52E-183,4.65E-29,1.88E-08,0.000693418,0.024113963,8.71E-09,4.62E-14,9.30E-23,1.47E-25
616,3.17E-184,2.20E-29,1.38E-08,0.000529021,0.026234563,1.34E-08,6.77E-14,1.54E-22,2.06E-25
617,1.04E-185,1.04E-29,1.00E-08,0.000400035,0.028289541,2.04E-08,9.90E-14,2.55E-22,2.90E-25
