Model: , Shkurtov mixing model of optical constants,,,,,,,
Timestamp: ,9/20/2022 10:14,,,,,,,
,Compound,Molecular Formula,Grainsize (micron),Concentration (%),Measurement Temperature,Wavelength,"Author,Year",DOI
0,Ammonia,NH3,100,100,77-88K,0.4-5.2 micron,"Martonchik, 1984",https://doi.org/10.1364/AO.23.000541
,,,,,,,,
wave,Ammonia,,,,,,,
0.873,0.398727156,,,,,,,
0.874,0.398841056,,,,,,,
0.875,0.398954762,,,,,,,
0.876,0.399068276,,,,,,,
0.877,0.399181596,,,,,,,
0.878,0.399294725,,,,,,,
0.879,0.399407662,,,,,,,
0.88,0.399520408,,,,,,,
0.881,0.399632962,,,,,,,
0.882,0.399745327,,,,,,,
0.883,0.399857502,,,,,,,
0.884,0.399969488,,,,,,,
0.885,0.400081285,,,,,,,
0.886,0.400192894,,,,,,,
0.887,0.400304316,,,,,,,
0.888,0.400415549,,,,,,,
0.889,0.400526597,,,,,,,
0.89,0.400637457,,,,,,,
0.891,0.400748132,,,,,,,
0.892,0.400858622,,,,,,,
0.893,0.400968927,,,,,,,
0.894,0.401079047,,,,,,,
0.895,0.401188983,,,,,,,
0.896,0.401298736,,,,,,,
0.897,0.401408306,,,,,,,
0.898,0.401517694,,,,,,,
0.899,0.401626899,,,,,,,
0.9,0.401735923,,,,,,,
0.901,0.401844765,,,,,,,
0.902,0.401953427,,,,,,,
0.903,0.402061909,,,,,,,
0.904,0.40217021,,,,,,,
0.905,0.402278333,,,,,,,
0.906,0.402386277,,,,,,,
0.907,0.402494042,,,,,,,
0.908,0.402601629,,,,,,,
0.909,0.402709039,,,,,,,
0.91,0.402816272,,,,,,,
0.911,0.402923328,,,,,,,
0.912,0.403030208,,,,,,,
0.913,0.403136912,,,,,,,
0.914,0.403243441,,,,,,,
0.915,0.403349795,,,,,,,
0.916,0.403455974,,,,,,,
0.917,0.40356198,,,,,,,
0.918,0.403667812,,,,,,,
0.919,0.403773471,,,,,,,
0.92,0.403878957,,,,,,,
0.921,0.403984271,,,,,,,
0.922,0.404089413,,,,,,,
0.923,0.404194384,,,,,,,
0.924,0.404299184,,,,,,,
0.925,0.404403813,,,,,,,
0.926,0.404508272,,,,,,,
0.927,0.404612562,,,,,,,
0.928,0.404716682,,,,,,,
0.929,0.404820633,,,,,,,
0.93,0.404924416,,,,,,,
0.931,0.405028031,,,,,,,
0.932,0.405131478,,,,,,,
0.933,0.405234758,,,,,,,
